condition,policy,priority,seed,trial,target_width_ms,host_width_ms,measured_width_ms,residual_ms,rise_s,fall_s
load,SCHED_OTHER,0,20260808,247,10.8170,12.7726,12.7571,1.2008,25.303886,25.316643
load,SCHED_OTHER,0,20260808,248,44.3468,45.0830,45.0556,-0.0674,25.359938,25.404993
load,SCHED_OTHER,0,20260808,249,23.4287,24.2409,24.2067,0.0248,25.424174,25.448381
load,SCHED_OTHER,0,20260808,250,34.0545,36.1325,36.1234,1.3040,25.461526,25.497650
load,SCHED_OTHER,0,20260808,251,44.5794,44.6056,44.5917,-0.7641,25.524866,25.569458
load,SCHED_OTHER,0,20260808,252,15.4305,17.0421,17.0079,0.8330,25.621636,25.638644
load,SCHED_OTHER,0,20260808,253,36.7541,37.8184,37.7991,0.2772,25.700844,25.738643
load,SCHED_OTHER,0,20260808,254,14.2166,14.2233,14.1905,-0.7692,25.774829,25.789019
load,SCHED_OTHER,0,20260808,255,14.3015,14.3315,14.3044,-0.7403,25.856226,25.870530
load,SCHED_OTHER,0,20260808,256,24.0606,24.0842,24.0656,-0.7489,25.939812,25.963877
load,SCHED_OTHER,0,20260808,257,19.3217,19.3465,19.3356,-0.7348,26.032092,26.051427
load,SCHED_OTHER,0,20260808,258,13.7120,15.0718,15.0307,0.5762,26.107637,26.122668
load,SCHED_OTHER,0,20260808,259,27.2331,27.2477,27.2170,-0.7735,26.194901,26.222118
load,SCHED_OTHER,0,20260808,260,9.8346,11.1679,11.1583,0.5855,26.253483,26.264641
load,SCHED_OTHER,0,20260808,261,44.0411,44.0705,44.0514,-0.7655,26.303815,26.347866
load,SCHED_OTHER,0,20260808,262,24.0952,24.1290,24.0836,-0.7656,26.396066,26.420149
load,SCHED_OTHER,0,20260808,263,6.9367,6.9489,6.9210,-0.7508,26.501382,26.508303
load,SCHED_OTHER,0,20260808,264,25.7511,25.7762,25.7424,-0.7645,26.580505,26.606248
load,SCHED_OTHER,0,20260808,265,37.0292,39.1882,39.1491,1.3518,26.688489,26.727639
load,SCHED_OTHER,0,20260808,266,28.9458,31.7848,31.7692,2.0641,26.817869,26.849638
load,SCHED_OTHER,0,20260808,267,5.2310,5.7569,5.7119,-0.2524,26.948905,26.954617
load,SCHED_OTHER,0,20260808,268,20.2530,21.8589,21.8388,0.8361,27.001807,27.023646
